cluster,proportion
0001 CLA-EPd-CTX Car3 Glut_1,0.0011987903115946636
0002 CLA-EPd-CTX Car3 Glut_1,5.4490468708848347e-05
0003 CLA-EPd-CTX Car3 Glut_1,0.0015393557410249656
0004 CLA-EPd-CTX Car3 Glut_1,0.0016937454023667026
0005 CLA-EPd-CTX Car3 Glut_2,3.632697913923223e-05
0006 IT EP-CLA Glut_1,1.8163489569616114e-05
0007 IT EP-CLA Glut_1,4.5408723924040284e-05
0008 IT EP-CLA Glut_1,0.00014530791655692892
0010 IT EP-CLA Glut_1,1.8163489569616114e-05
0011 IT EP-CLA Glut_1,1.8163489569616114e-05
0012 IT EP-CLA Glut_1,0.000949042330012442
0023 L5/6 IT TPE-ENT Glut_1,0.0019434933839489242
0026 L5/6 IT TPE-ENT Glut_2,0.00014530791655692892
0033 L6 IT CTX Glut_1,4.5408723924040284e-05
0034 L6 IT CTX Glut_1,0.0006130177729745438
0035 L6 IT CTX Glut_1,9.081744784808057e-05
0036 L6 IT CTX Glut_1,0.0005176594527340593
0037 L6 IT CTX Glut_1,0.0008718474993415735
0038 L6 IT CTX Glut_2,0.00040413764292395853
0039 L6 IT CTX Glut_2,0.013522717984579198
0040 L6 IT CTX Glut_2,0.009376901490314319
0041 L6 IT CTX Glut_2,0.014857734467945981
0042 L6 IT CTX Glut_2,0.027286102205955808
0043 L6 IT CTX Glut_2,0.0058804297481632175
0044 L6 IT CTX Glut_3,0.00010444006502529266
0045 L6 IT CTX Glut_3,0.00034056542943030217
0046 L6 IT CTX Glut_3,0.0010444006502529266
0047 L6 IT CTX Glut_3,0.0018526759361008438
0048 L6 IT CTX Glut_3,0.003491930869758698
0049 L6 IT CTX Glut_4,4.5408723924040284e-05
0050 L6 IT CTX Glut_4,0.00013168529937971683
0051 L6 IT CTX Glut_4,2.7245234354424173e-05
0052 L6 IT CTX Glut_4,0.0007083760932150285
0053 L6 IT CTX Glut_5,0.002383958006012115
0054 L6 IT CTX Glut_5,0.010180635903769832
0055 L5 IT CTX Glut_1,0.0006175586453669479
0056 L5 IT CTX Glut_1,0.003641779658708031
0057 L5 IT CTX Glut_1,0.00023158449201260547
0058 L5 IT CTX Glut_2,0.003187692419467628
0059 L5 IT CTX Glut_2,3.17861067468282e-05
0060 L5 IT CTX Glut_2,0.0007038352208226245
0061 L5 IT CTX Glut_3,0.041085813406471654
0062 L5 IT CTX Glut_3,0.00019525751287337322
0063 L5 IT CTX Glut_4,0.000644803879721372
0064 L5 IT CTX Glut_4,0.0005494455594808875
0065 L5 IT CTX Glut_5,4.9949596316444315e-05
0066 L4/5 IT CTX Glut_1,0.0010625641398225426
0067 L4/5 IT CTX Glut_1,0.0001907166404809692
0068 L4/5 IT CTX Glut_1,8.627657545567654e-05
0069 L4/5 IT CTX Glut_1,0.02459336487726022
0070 L4/5 IT CTX Glut_1,0.015152891173452244
0071 L4/5 IT CTX Glut_1,0.0007265395827846445
0072 L4/5 IT CTX Glut_1,0.0021569143863919135
0073 L4/5 IT CTX Glut_1,0.00026337059875943366
0074 L4/5 IT CTX Glut_1,0.0005085777079492512
0075 L4/5 IT CTX Glut_2,7.719483067086848e-05
0077 L4/5 IT CTX Glut_2,0.0005766907938353116
0078 L4/5 IT CTX Glut_2,0.005857725386201197
0079 L4/5 IT CTX Glut_2,0.010039868859605307
0080 L4/5 IT CTX Glut_2,0.00040413764292395853
0081 L4/5 IT CTX Glut_2,0.0018208898293540156
0082 L4/5 IT CTX Glut_2,0.02015239167748908
0084 L4/5 IT CTX Glut_3,0.0020297699594046007
0085 L4/5 IT CTX Glut_3,0.0006039360281897358
0086 L4/5 IT CTX Glut_3,0.0005222003251264633
0087 L4/5 IT CTX Glut_3,0.007483357702681839
0088 L4/5 IT CTX Glut_3,0.007873872728428585
0089 L4/5 IT CTX Glut_4,3.632697913923223e-05
0090 L4/5 IT CTX Glut_4,0.002179618748353934
0091 L4/5 IT CTX Glut_4,0.016665001680122787
0092 L4/5 IT CTX Glut_4,0.00014530791655692892
0093 L4/5 IT CTX Glut_4,8.173570306327252e-05
0094 L4/5 IT CTX Glut_4,0.0009172562232656138
0095 L4/5 IT CTX Glut_5,0.01876742559780585
0096 L4/5 IT CTX Glut_5,0.004250256559290171
0097 L4/5 IT CTX Glut_5,0.018649362915603346
0098 L4/5 IT CTX Glut_5,0.0012759851422655321
0099 L4/5 IT CTX Glut_6,0.000158930533734141
0100 L4/5 IT CTX Glut_6,0.0027971773937208815
0101 L4/5 IT CTX Glut_6,0.00014984878894933295
0103 L2/3 IT CTX Glut_1,4.5408723924040284e-05
0104 L2/3 IT CTX Glut_1,4.9949596316444315e-05
0105 L2/3 IT CTX Glut_1,0.006525233627884589
0106 L2/3 IT CTX Glut_1,0.00017709402330375713
0107 L2/3 IT CTX Glut_1,0.00010444006502529266
0108 L2/3 IT CTX Glut_2,0.00024520710918981756
0109 L2/3 IT CTX Glut_2,0.2501975279490696
0110 L2/3 IT CTX Glut_2,0.00320131503664484
0111 L2/3 IT CTX Glut_2,0.0006084769005821398
