supertype,proportion
0001 CLA-EPd-CTX Car3 Glut_1,0.0044863819236951805
0002 CLA-EPd-CTX Car3 Glut_2,3.632697913923223e-05
0003 IT EP-CLA Glut_1,0.0011942494392022595
0007 L5/6 IT TPE-ENT Glut_1,0.0019434933839489242
0008 L5/6 IT TPE-ENT Glut_2,0.00014530791655692892
0013 L6 IT CTX Glut_1,0.0021387508968222974
0014 L6 IT CTX Glut_2,0.07132802353988248
0015 L6 IT CTX Glut_3,0.006834012950568063
0016 L6 IT CTX Glut_4,0.0009127153508732098
0017 L6 IT CTX Glut_5,0.012564593909781947
0018 L5 IT CTX Glut_1,0.004490922796087584
0019 L5 IT CTX Glut_2,0.003923313747037081
0020 L5 IT CTX Glut_3,0.04128107091934503
0021 L5 IT CTX Glut_4,0.0011942494392022595
0022 L5 IT CTX Glut_5,4.9949596316444315e-05
0023 L4/5 IT CTX Glut_1,0.044741215682356894
0024 L4/5 IT CTX Glut_2,0.03892889902007974
0025 L4/5 IT CTX Glut_3,0.018513136743831225
0026 L4/5 IT CTX Glut_4,0.020025247250501768
0027 L4/5 IT CTX Glut_5,0.0429430302149649
0028 L4/5 IT CTX Glut_6,0.0031059567164043555
0029 L2/3 IT CTX Glut_1,0.006902126036454123
0030 L2/3 IT CTX Glut_2,0.2553287137524861
0031 L2/3 IT CTX Glut_3,0.0013577208453288045
0032 L2/3 IT CTX Glut_4,0.01721444723960367
0040 L2/3 IT PIR-ENTl Glut_2,1.3622617177212087e-05
0041 L2/3 IT PIR-ENTl Glut_3,0.0001271444269873128
0050 IT AON-TT-DP Glut_5,8.173570306327252e-05
0087 L2/3 IT RSP Glut_1,0.0008309796478099372
0088 L2/3 IT RSP Glut_2,2.2704361962020142e-05
0090 L5 ET CTX Glut_1,0.021778023993969723
0091 L5 ET CTX Glut_2,0.028008100916348047
0092 L5 ET CTX Glut_3,0.0008309796478099372
0093 L5 ET CTX Glut_4,0.00010444006502529266
0094 L5 ET CTX Glut_5,0.00013622617177212087
0095 L5 ET CTX Glut_6,0.00014076704416452488
0106 L6b/CT ENT Glut_1,1.3622617177212087e-05
0110 L6b CTX Glut_1,0.0063118126254415995
0111 L6b CTX Glut_2,0.0024793163262525997
0112 L6b CTX Glut_3,0.004608985478290089
0113 L6b CTX Glut_4,0.0005948542834049278
0114 L6 CT CTX Glut_1,0.023480851141121233
0115 L6 CT CTX Glut_2,0.12179527930906085
0116 L6 CT CTX Glut_3,0.002733605180227225
0117 L6 CT CTX Glut_4,0.00015438966134173696
0118 L6 CT CTX Glut_5,0.004954091780112795
0119 L6 CT CTX Glut_6,0.001080727629392159
0120 CT SUB Glut_1,0.00010444006502529266
0121 CT SUB Glut_2,3.17861067468282e-05
0122 L5 NP CTX Glut_1,0.0003360245570378981
0123 L5 NP CTX Glut_2,0.012092343180971929
0124 L5 NP CTX Glut_3,0.012914241083997057
0125 L5 NP CTX Glut_4,0.003669024893062455
0135 HPF CR Glut_1,0.00013622617177212087
0137 DG Glut_2,1.3622617177212087e-05
0158 OB-out Frmd7 Gaba_1,0.00012260355459490878
0173 Vip Gaba_1,0.0028289635004677097
0174 Vip Gaba_2,0.001416752186430057
0175 Vip Gaba_3,0.0010216962882909064
0176 Vip Gaba_4,0.0019434933839489242
0177 Vip Gaba_5,0.006084769005821398
0178 Vip Gaba_6,0.004935928290543179
0179 Vip Gaba_7,1.8163489569616114e-05
0180 Vip Gaba_8,0.00046770985641761496
0183 Vip Gaba_11,0.0014031295692528449
0184 Vip Gaba_12,0.0027245234354424173
0185 Sncg Gaba_1,0.000640263007328968
0186 Sncg Gaba_2,0.0012850668870503402
0187 Sncg Gaba_3,0.0017618584882527631
0188 Sncg Gaba_4,0.0009672058195820581
0189 Sncg Gaba_5,0.00012260355459490878
0190 Sncg Gaba_6,0.0011715450772402393
0191 Sncg Gaba_7,0.0002088801300505853
0192 Sncg Gaba_8,0.000322401939860686
0199 Lamp5 Gaba_1,0.019226053709438657
0200 Lamp5 Gaba_2,0.0025701337741006803
0201 Lamp5 Gaba_3,0.0020297699594046007
0202 Lamp5 Gaba_4,0.0007310804551770487
0203 Lamp5 Lhx6 Gaba_1,0.0006811308588606043
0204 Pvalb chandelier Gaba_1,0.0018390533189236316
0205 Pvalb Gaba_1,0.0028834539691765582
0206 Pvalb Gaba_2,0.00037689240856953436
0207 Pvalb Gaba_3,0.02621445632134846
0208 Pvalb Gaba_4,0.014004050458174024
0209 Pvalb Gaba_5,0.0001725531509113531
0210 Pvalb Gaba_6,0.0005993951557973318
0211 Pvalb Gaba_7,0.00010444006502529266
0212 Pvalb Gaba_8,0.007828464004504545
0213 Pvalb Gaba_9,3.632697913923223e-05
0214 Sst Gaba_1,0.0050721544623153
0215 Sst Gaba_2,4.9949596316444315e-05
0216 Sst Gaba_3,0.0001907166404809692
