cluster,proportion
0458 CT SUB Glut_1,0.0003849361647526785
1956 DMH Hmx2 Gaba_5,0.00025662410983511903
2397 PH-ant-LHA Otp Bsx Glut_2,0.00019246808237633926
2486 PH Pitx2 Glut_2,0.0003849361647526785
2495 PH Pitx2 Glut_2,0.00019246808237633926
2504 PH-LHA Foxb1 Glut_1,0.00019246808237633926
2669 TH Prkcd Grin2c Glut_8,0.00019246808237633926
2711 PF Fzd5 Glut_1,0.0005774042471290178
2714 PF Fzd5 Glut_1,0.00025662410983511903
2717 PF Fzd5 Glut_1,0.00032078013729389875
2719 PF Fzd5 Glut_1,0.000769872329505357
2723 PF Fzd5 Glut_2,0.00019246808237633926
2724 PF Fzd5 Glut_2,0.006030666581125297
2725 PF Fzd5 Glut_2,0.0006415602745877975
2728 PRC-PAG Pax6 Glut_1,0.0004490921922114583
2731 PRC-PAG Pax6 Glut_1,0.00019246808237633926
2741 PRC-PAG Pax6 Glut_3,0.0016039006864694938
2742 PRC-PAG Pax6 Glut_3,0.003656893565150446
2743 PRC-PAG Pax6 Glut_3,0.0005774042471290178
2744 PRC-PAG Pax6 Glut_3,0.0005132482196702381
2745 PRC-PAG Pax6 Glut_3,0.0027587091807275295
2746 PRC-PAG Pax6 Glut_3,0.00256624109835119
2747 PRC-PAG Pax6 Glut_3,0.00019246808237633926
2752 MB-ant-ve Dmrta2 Glut_1,0.0016680567139282735
2754 MB-ant-ve Dmrta2 Glut_1,0.0013472765766343747
2755 MB-ant-ve Dmrta2 Glut_1,0.0028228652081863093
2757 MB-ant-ve Dmrta2 Glut_1,0.0005132482196702381
2759 MB-ant-ve Dmrta2 Glut_1,0.00019246808237633926
2761 RN Spp1 Glut_1,0.009430936036440624
2762 MRN-PAG Nkx6-1 Glut_1,0.002309616988516071
2763 MRN-PAG Nkx6-1 Glut_1,0.0009623404118816963
2765 MRN-PAG Nkx6-1 Glut_2,0.0005774042471290178
2766 MRN-PAG Nkx6-1 Glut_2,0.0004490921922114583
2776 IF-RL-CLI-PAG Foxa1 Glut_3,0.00025662410983511903
2780 IF-RL-CLI-PAG Foxa1 Glut_5,0.00019246808237633926
2787 PAG-SC Neurod2 Meis2 Glut_2,0.0005774042471290178
2788 PAG-SC Neurod2 Meis2 Glut_2,0.0017322127413870532
2789 PAG-SC Neurod2 Meis2 Glut_2,0.0008340283569641367
2790 PAG-SC Neurod2 Meis2 Glut_3,0.00032078013729389875
2800 PAG Pou4f3 Glut_1,0.0006415602745877975
2806 PAG Pou4f3 Glut_1,0.00032078013729389875
2811 PAG Pou4f3 Glut_3,0.0003849361647526785
2812 PAG Pou4f3 Glut_3,0.0008340283569641367
2813 CUN Evx2 Lhx2 Glut_1,0.00019246808237633926
2814 CUN Evx2 Lhx2 Glut_1,0.0004490921922114583
2815 CUN Evx2 Lhx2 Glut_1,0.00019246808237633926
2819 CUN Evx2 Lhx2 Glut_2,0.0006415602745877975
2820 CUN Evx2 Lhx2 Glut_2,0.00256624109835119
2821 CUN Evx2 Lhx2 Glut_2,0.00019246808237633926
2822 CUN Evx2 Lhx2 Glut_2,0.0013472765766343747
2824 CUN Evx2 Lhx2 Glut_2,0.0010264964393404761
2825 CUN Evx2 Lhx2 Glut_2,0.0019246808237633926
2826 CUN Evx2 Lhx2 Glut_3,0.002117148906139732
2827 CUN Evx2 Lhx2 Glut_3,0.0011548084942580355
2828 CUN Evx2 Lhx2 Glut_3,0.001539744659010714
2829 CUN Evx2 Lhx2 Glut_3,0.0008981843844229166
2830 CUN Evx2 Lhx2 Glut_3,0.0006415602745877975
2831 CUN Evx2 Lhx2 Glut_3,0.0025020850708924102
2838 CUN Evx2 Lhx2 Glut_5,0.0007057163020465773
2839 CUN Evx2 Lhx2 Glut_5,0.0008340283569641367
2840 CUN Evx2 Lhx2 Glut_5,0.000769872329505357
2841 APN C1ql2 Glut_1,0.0006415602745877975
2842 APN C1ql2 Glut_1,0.011355616860204016
2843 APN C1ql2 Glut_1,0.00019246808237633926
2844 APN C1ql2 Glut_1,0.0018605247963046129
2847 APN C1ql2 Glut_1,0.0007057163020465773
2848 APN C1ql4 Glut_1,0.0003849361647526785
2850 APN C1ql4 Glut_1,0.0009623404118816963
2851 APN C1ql4 Glut_1,0.0017322127413870532
2852 APN C1ql4 Glut_1,0.0041059857573619045
2853 APN C1ql4 Glut_1,0.0020529928786809522
2854 APN C1ql4 Glut_1,0.0003849361647526785
2855 APN C1ql4 Glut_1,0.0011548084942580355
2856 APN C1ql4 Glut_1,0.001539744659010714
2857 PAG-MRN Pou3f1 Glut_1,0.0014114326040931546
2858 PAG-MRN Pou3f1 Glut_1,0.00025662410983511903
2859 PAG-MRN Pou3f1 Glut_1,0.0041059857573619045
2860 PAG-MRN Pou3f1 Glut_1,0.0011548084942580355
2861 PAG-MRN Pou3f1 Glut_1,0.004683390004490922
2863 PAG-MRN Pou3f1 Glut_1,0.00019246808237633926
2865 PAG-MRN Pou3f1 Glut_1,0.0010906524667992558
2866 PAG-MRN Pou3f1 Glut_1,0.0004490921922114583
2867 PAG-MRN Pou3f1 Glut_1,0.0017322127413870532
2868 PAG-MRN Pou3f1 Glut_2,0.0007057163020465773
2870 PAG-MRN Pou3f1 Glut_4,0.0016039006864694938
2871 PAG-MRN Pou3f1 Glut_4,0.0022454609610572914
2872 PAG-MRN Pou3f1 Glut_4,0.005966510553666517
2873 PAG-MRN Pou3f1 Glut_4,0.0017322127413870532
2874 PAG-MRN Pou3f1 Glut_5,0.0020529928786809522
2875 PAG-MRN Pou3f1 Glut_5,0.0018605247963046129
2876 PAG-MRN Pou3f1 Glut_5,0.00025662410983511903
2877 PAG-MRN Pou3f1 Glut_5,0.002373773015974851
2878 PAG-MRN Pou3f1 Glut_5,0.0022454609610572914
2879 PAG-MRN Pou3f1 Glut_6,0.0029511772631038687
2880 PAG-MRN Pou3f1 Glut_6,0.0014114326040931546
2881 PAG-MRN Pou3f1 Glut_6,0.005838198498748957
2882 PAG-MRN Pou3f1 Glut_6,0.0004490921922114583
2883 PAG-MRN Pou3f1 Glut_6,0.0008981843844229166
2884 MRN Pou3f1 C1ql4 Glut_1,0.0008981843844229166
2885 MRN Pou3f1 C1ql4 Glut_1,0.0016039006864694938
2886 MRN Pou3f1 C1ql4 Glut_1,0.0007057163020465773
2887 MRN Pou3f1 C1ql4 Glut_1,0.00025662410983511903
2888 MRN Pou3f1 C1ql4 Glut_1,0.0005132482196702381
2889 MRN Pou3f1 C1ql4 Glut_1,0.0005132482196702381
2890 MRN Pou3f1 C1ql4 Glut_2,0.0017963687688458331
2891 MRN Pou3f1 C1ql4 Glut_2,0.00032078013729389875
2892 MRN Pou3f1 C1ql4 Glut_2,0.0010906524667992558
2893 MRN Pou3f1 C1ql4 Glut_2,0.0012189645217168153
2894 MRN Pou3f1 C1ql4 Glut_2,0.001539744659010714
2895 MRN Pou3f1 C1ql4 Glut_3,0.0010264964393404761
2896 MRN Pou3f1 C1ql4 Glut_3,0.002373773015974851
2908 PRC-PAG Tcf7l2 Irx2 Glut_2,0.00025662410983511903
2916 PRC-PAG Tcf7l2 Irx2 Glut_3,0.0008981843844229166
2919 PRC-PAG Tcf7l2 Irx2 Glut_3,0.0030153332905626484
2924 PRC-PAG Tcf7l2 Irx2 Glut_5,0.000769872329505357
2925 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.0009623404118816963
2926 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.0019888368512221725
2927 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.0012189645217168153
2928 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.0025020850708924102
2929 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.0008340283569641367
2930 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.0008981843844229166
2932 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.0007057163020465773
2933 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.0014755886315519343
2935 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.001539744659010714
2938 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,0.0009623404118816963
2939 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,0.0010264964393404761
2941 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,0.0014114326040931546
2942 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,0.0032719574003977673
2943 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,0.0003849361647526785
2944 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,0.0010264964393404761
2945 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,0.0034002694553153267
2956 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.00019246808237633926
2957 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.001539744659010714
2958 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.003336113427856547
2959 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.0005132482196702381
2960 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.0005774042471290178
2961 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.0016680567139282735
2962 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.0017963687688458331
2963 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.0007057163020465773
2965 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,0.0003849361647526785
2967 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,0.00025662410983511903
2968 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,0.002309616988516071
2973 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,0.0005774042471290178
2975 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,0.0004490921922114583
2978 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,0.00019246808237633926
2983 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,0.003143645345480208
2984 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,0.0016680567139282735
2985 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,0.00019246808237633926
2986 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,0.0020529928786809522
2987 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,0.0034002694553153267
2990 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,0.00025662410983511903
2991 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,0.005966510553666517
2993 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,0.0006415602745877975
2994 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,0.002373773015974851
3000 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_10,0.003336113427856547
3001 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_10,0.0020529928786809522
3002 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_11,0.00025662410983511903
3006 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,0.00019246808237633926
3009 PAG-SC Pou4f1 Zic1 Glut_1,0.0010264964393404761
3014 PAG-SC Pou4f1 Zic1 Glut_1,0.0011548084942580355
3015 PAG-SC Pou4f1 Zic1 Glut_1,0.00025662410983511903
3021 PAG-SC Pou4f1 Zic1 Glut_2,0.00032078013729389875
3025 PAG-SC Pou4f1 Zic1 Glut_2,0.0032078013729389876
3026 PAG-SC Pou4f1 Zic1 Glut_2,0.0010906524667992558
3027 PAG-SC Pou4f1 Zic1 Glut_2,0.004811702059408482
3030 PAG-SC Pou4f1 Zic1 Glut_2,0.00019246808237633926
3032 PAG-SC Pou4f1 Zic1 Glut_2,0.004234297812279464
3033 PAG-SC Pou4f1 Zic1 Glut_2,0.0030153332905626484
3043 PAG-MRN Tfap2b Glut_1,0.0017322127413870532
3044 PAG-MRN Tfap2b Glut_1,0.00025662410983511903
3045 PAG-MRN Tfap2b Glut_1,0.0010264964393404761
3047 PAG-MRN Tfap2b Glut_1,0.000769872329505357
3048 PAG-MRN Tfap2b Glut_1,0.0041059857573619045
3049 PAG-MRN Tfap2b Glut_1,0.0004490921922114583
3051 PAG-MRN Tfap2b Glut_1,0.0004490921922114583
3053 PAG-MRN Tfap2b Glut_1,0.0004490921922114583
3054 PAG-MRN Tfap2b Glut_1,0.003143645345480208
3055 PAG-MRN Tfap2b Glut_1,0.0016680567139282735
3062 PAG-MRN Tfap2b Glut_1,0.00025662410983511903
3068 PAG-MRN Tfap2b Glut_1,0.0007057163020465773
3072 PAG-MRN Tfap2b Glut_2,0.0021813049335985117
