subclass,proportion
031 CT SUB Glut,0.0003849361647526785
107 DMH Hmx2 Gaba,0.00025662410983511903
134 PH-ant-LHA Otp Bsx Glut,0.00019246808237633926
138 PH Pitx2 Glut,0.0005774042471290178
139 PH-LHA Foxb1 Glut,0.00019246808237633926
151 TH Prkcd Grin2c Glut,0.00019246808237633926
154 PF Fzd5 Glut,0.008789375761852826
155 PRC-PAG Pax6 Glut,0.012510425354462052
156 MB-ant-ve Dmrta2 Glut,0.0065439148007955346
157 RN Spp1 Glut,0.009430936036440624
158 MRN-PAG Nkx6-1 Glut,0.004298453839738243
159 IF-RL-CLI-PAG Foxa1 Glut,0.0004490921922114583
160 PAG-SC Neurod2 Meis2 Glut,0.0034644254827741064
161 PAG Pou4f3 Glut,0.0021813049335985117
162 CUN Evx2 Lhx2 Glut,0.019695900429845384
163 APN C1ql2 Glut,0.014755886315519343
164 APN C1ql4 Glut,0.012317957272085713
165 PAG-MRN Pou3f1 Glut,0.04766792840187336
166 MRN Pou3f1 C1ql4 Glut,0.013857701931096426
167 PRC-PAG Tcf7l2 Irx2 Glut,0.004940014114326041
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,0.06364277923910952
169 PAG-SC Pou4f1 Zic1 Glut,0.019310964265092705
170 PAG-MRN Tfap2b Glut,0.019824212484762942
171 PAG Pou4f1 Bnc2 Glut,0.026303971258099697
172 PAG Pou4f1 Ebf2 Glut,0.003143645345480208
173 PAG Pou4f2 Glut,0.0007057163020465773
174 PAG Pou4f2 Mesi2 Glut,0.0005774042471290178
176 SCig Foxb1 Glut,0.0014114326040931546
177 SCig-an-PPT Foxb1 Glut,0.0014114326040931546
178 SCig Foxb1 Otx2 Glut,0.00025662410983511903
180 SCiw Pitx2 Glut,0.022069673445820236
181 IC Tfap2d Maf Glut,0.049464297170719186
182 CUN-PPN Evx2 Meis2 Glut,0.009495092063899403
183 PBG Mtnr1a Glut-Chol,0.00019246808237633926
186 SCop Pou4f2 Neurod2 Glut,0.0008981843844229166
189 PAG Ucn Glut,0.0003849361647526785
190 ND-INC Foxd2 Glut,0.010778212613074998
191 PAG-MRN Rln3 Gaba,0.0035285815102328866
192 PPN-CUN-PCG Otp En1 Gaba,0.0020529928786809522
193 MRN-PPN-CUN Pax8 Gaba,0.008211971514723809
194 MRN-VTN-PPN Pax5 Cdh23 Gaba,0.03374607044331815
195 SNr-VTA Pax5 Npas1 Gaba,0.012317957272085713
196 PAG-PPN Pax5 Sox21 Gaba,0.026560595367934817
197 SNr Six3 Gaba,0.029640084685956247
198 IC Six3 En2 Gaba,0.12664399820363123
199 PAG-MRN-RN Foxa2 Gaba,0.035285815102328866
200 PAG-ND-PCG Onecut1 Gaba,0.009880028228652082
201 PAG-RN Nkx2-2 Otx1 Gaba,0.048630268813755054
202 PRT Tcf7l2 Gaba,0.05498171553217425
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,0.009110155899146724
205 SC-PAG Lef1 Emx2 Gaba,0.009366780008981845
206 SCm-PAG Cdh23 Gaba,0.003336113427856547
207 SCs Dmbx1 Gaba,0.003143645345480208
208 SC Lef1 Otx2 Gaba,0.0019246808237633926
209 SCs Pax7 Nfia Gaba,0.00256624109835119
210 PRT Mecom Gaba,0.0020529928786809522
212 SCs Lef1 Gli3 Gaba,0.0007057163020465773
213 SCsg Gabrr2 Gaba,0.0018605247963046129
215 SNc-VTA-RAmb Foxa1 Dopa,0.01571822672740104
216 MB-MY Tph2 Glut-Sero,0.007313787130300892
217 PB Lmx1a Glut,0.00025662410983511903
220 PB Pax5 Glut,0.00025662410983511903
221 LDT-PCG Vsx2 Lhx4 Glut,0.011419772887662796
222 PB Evx2 Glut,0.01751459549624687
224 PCG-PRNr Vsx2 Nkx6-1 Glut,0.010714056585616218
228 PSV Pvalb Lhx2 Glut,0.00032078013729389875
231 IPN-LDT Vsx2 Nkx6-1 Glut,0.0011548084942580355
232 LDT Vsx2 Nkx6-1 Nfib Glut,0.0007057163020465773
233 NLL-SOC Spp1 Glut,0.00032078013729389875
243 PGRN-PARN-MDRN Hoxb5 Glut,0.034323474690447164
246 CU-ECU-SPVI Foxb1 Glut,0.00032078013729389875
250 CBN Neurod2 Pvalb Glut,0.0020529928786809522
261 HB Calcb Chol,0.0034002694553153267
263 CS-RPO Meis2 Gaba,0.0019888368512221725
264 PRNc Otp Gly-Gaba,0.0019246808237633926
267 CS-PRNr-PCG Tmem163 Otp Gaba,0.005260794251619939
268 CS-PRNr-DR En1 Sox2 Gaba,0.012253801244626933
270 LDT-DTN Gata3 Nfix Gaba,0.01020080836594598
272 LDT-PCG-CS Gata3 Lhx1 Gaba,0.006287290690960416
276 LDT-PCG St18 Gaba,0.0014755886315519343
277 DTN-LDT-IPN Otp Pax3 Gaba,0.00513248219670238
278 NLL Gata3 Gly-Gaba,0.0032719574003977673
285 MY Lhx1 Gly-Gaba,0.028036183999486753
295 CBN Dmbx1 Gaba,0.00025662410983511903
