supertype,proportion
0120 CT SUB Glut_1,0.0003849361647526785
0491 DMH Hmx2 Gaba_5,0.00025662410983511903
0592 PH-ant-LHA Otp Bsx Glut_2,0.00019246808237633926
0611 PH Pitx2 Glut_2,0.0005774042471290178
0612 PH-LHA Foxb1 Glut_1,0.00019246808237633926
0661 TH Prkcd Grin2c Glut_8,0.00019246808237633926
0674 PF Fzd5 Glut_1,0.0019246808237633926
0675 PF Fzd5 Glut_2,0.006864694938089434
0676 PRC-PAG Pax6 Glut_1,0.0006415602745877975
0678 PRC-PAG Pax6 Glut_3,0.011868865079874254
0681 MB-ant-ve Dmrta2 Glut_1,0.0065439148007955346
0682 RN Spp1 Glut_1,0.009430936036440624
0683 MRN-PAG Nkx6-1 Glut_1,0.0032719574003977673
0684 MRN-PAG Nkx6-1 Glut_2,0.0010264964393404761
0687 IF-RL-CLI-PAG Foxa1 Glut_3,0.00025662410983511903
0689 IF-RL-CLI-PAG Foxa1 Glut_5,0.00019246808237633926
0691 PAG-SC Neurod2 Meis2 Glut_2,0.003143645345480208
0692 PAG-SC Neurod2 Meis2 Glut_3,0.00032078013729389875
0694 PAG Pou4f3 Glut_1,0.0009623404118816963
0696 PAG Pou4f3 Glut_3,0.0012189645217168153
0697 CUN Evx2 Lhx2 Glut_1,0.0008340283569641367
0698 CUN Evx2 Lhx2 Glut_2,0.00769872329505357
0699 CUN Evx2 Lhx2 Glut_3,0.008853531789311605
0701 CUN Evx2 Lhx2 Glut_5,0.002309616988516071
0702 APN C1ql2 Glut_1,0.014755886315519343
0703 APN C1ql4 Glut_1,0.012317957272085713
0704 PAG-MRN Pou3f1 Glut_1,0.015076666452813242
0705 PAG-MRN Pou3f1 Glut_2,0.0007057163020465773
0707 PAG-MRN Pou3f1 Glut_4,0.011548084942580356
0708 PAG-MRN Pou3f1 Glut_5,0.008789375761852826
0709 PAG-MRN Pou3f1 Glut_6,0.011548084942580356
0710 MRN Pou3f1 C1ql4 Glut_1,0.004490921922114583
0711 MRN Pou3f1 C1ql4 Glut_2,0.005966510553666517
0712 MRN Pou3f1 C1ql4 Glut_3,0.0034002694553153267
0714 PRC-PAG Tcf7l2 Irx2 Glut_2,0.00025662410983511903
0715 PRC-PAG Tcf7l2 Irx2 Glut_3,0.003913517674985565
0717 PRC-PAG Tcf7l2 Irx2 Glut_5,0.000769872329505357
0718 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,0.012125489189709373
0719 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,0.011483928915121575
0721 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,0.01032912042086354
0722 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,0.0035285815102328866
0723 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,0.0006415602745877975
0724 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,0.0104574324757811
0725 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,0.009238467954064284
0727 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_10,0.005389106306537499
0728 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_11,0.00025662410983511903
0729 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,0.00019246808237633926
0730 PAG-SC Pou4f1 Zic1 Glut_1,0.0024379290434336305
0731 PAG-SC Pou4f1 Zic1 Glut_2,0.016873035221659075
0733 PAG-MRN Tfap2b Glut_1,0.015012510425354461
0734 PAG-MRN Tfap2b Glut_2,0.004811702059408482
0735 PAG Pou4f1 Bnc2 Glut_1,0.02322448194007827
0736 PAG Pou4f1 Bnc2 Glut_2,0.003079489318021428
0739 PAG Pou4f1 Ebf2 Glut_3,0.0013472765766343747
0741 PAG Pou4f1 Ebf2 Glut_5,0.00025662410983511903
0743 PAG Pou4f1 Ebf2 Glut_7,0.00025662410983511903
0744 PAG Pou4f1 Ebf2 Glut_8,0.001283120549175595
0747 PAG Pou4f2 Glut_3,0.0003849361647526785
0748 PAG Pou4f2 Glut_4,0.00032078013729389875
0751 PAG Pou4f2 Mesi2 Glut_2,0.00025662410983511903
0752 PAG Pou4f2 Mesi2 Glut_3,0.00032078013729389875
0761 SCig Foxb1 Glut_2,0.0005774042471290178
0762 SCig Foxb1 Glut_3,0.0004490921922114583
0763 SCig Foxb1 Glut_4,0.0003849361647526785
0764 SCig-an-PPT Foxb1 Glut_1,0.0014114326040931546
0765 SCig Foxb1 Otx2 Glut_1,0.00025662410983511903
0767 SCiw Pitx2 Glut_1,0.02117148906139732
0768 SCiw Pitx2 Glut_2,0.0008981843844229166
0770 IC Tfap2d Maf Glut_1,0.0035927375376916663
0771 IC Tfap2d Maf Glut_2,0.0020529928786809522
0772 IC Tfap2d Maf Glut_3,0.015782382754859818
0773 IC Tfap2d Maf Glut_4,0.02546994290113556
0774 IC Tfap2d Maf Glut_5,0.0009623404118816963
0775 IC Tfap2d Maf Glut_6,0.0016039006864694938
0776 CUN-PPN Evx2 Meis2 Glut_1,0.0028228652081863093
0778 CUN-PPN Evx2 Meis2 Glut_3,0.002887021235645089
0779 CUN-PPN Evx2 Meis2 Glut_4,0.0024379290434336305
0780 CUN-PPN Evx2 Meis2 Glut_5,0.0013472765766343747
0781 PBG Mtnr1a Glut-Chol_1,0.00019246808237633926
0784 SCop Pou4f2 Neurod2 Glut_1,0.0008981843844229166
0789 PAG Ucn Glut_1,0.0003849361647526785
0790 ND-INC Foxd2 Glut_1,0.010778212613074998
0791 PAG-MRN Rln3 Gaba_1,0.0035285815102328866
0792 PPN-CUN-PCG Otp En1 Gaba_1,0.0011548084942580355
0794 PPN-CUN-PCG Otp En1 Gaba_3,0.0008981843844229166
0795 MRN-PPN-CUN Pax8 Gaba_1,0.008211971514723809
0798 MRN-VTN-PPN Pax5 Cdh23 Gaba_1,0.02335279399499583
0799 MRN-VTN-PPN Pax5 Cdh23 Gaba_2,0.01039327644832232
0800 SNr-VTA Pax5 Npas1 Gaba_1,0.010842368640533779
0801 SNr-VTA Pax5 Npas1 Gaba_2,0.0014755886315519343
0802 PAG-PPN Pax5 Sox21 Gaba_1,0.0037210495926092257
0803 PAG-PPN Pax5 Sox21 Gaba_2,0.0017322127413870532
0804 PAG-PPN Pax5 Sox21 Gaba_3,0.008981843844229166
0805 PAG-PPN Pax5 Sox21 Gaba_4,0.012125489189709373
0806 SNr Six3 Gaba_1,0.029640084685956247
0807 IC Six3 En2 Gaba_1,0.04324116250721755
0808 IC Six3 En2 Gaba_2,0.0019888368512221725
0809 IC Six3 En2 Gaba_3,0.03175723359209598
0810 IC Six3 En2 Gaba_4,0.008853531789311605
0811 IC Six3 En2 Gaba_5,0.03387438249823571
0812 IC Six3 En2 Gaba_6,0.0035927375376916663
0813 IC Six3 En2 Gaba_7,0.003336113427856547
0814 PAG-MRN-RN Foxa2 Gaba_1,0.010970680695451337
0815 PAG-MRN-RN Foxa2 Gaba_2,0.010906524667992558
0816 PAG-MRN-RN Foxa2 Gaba_3,0.009751716173734522
0817 PAG-MRN-RN Foxa2 Gaba_4,0.003656893565150446
0818 PAG-ND-PCG Onecut1 Gaba_1,0.008596907679476486
0819 PAG-ND-PCG Onecut1 Gaba_2,0.0008981843844229166
0820 PAG-ND-PCG Onecut1 Gaba_3,0.0003849361647526785
0823 PAG-RN Nkx2-2 Otx1 Gaba_1,0.030409957015461602
0824 PAG-RN Nkx2-2 Otx1 Gaba_2,0.005902354526207737
0825 PAG-RN Nkx2-2 Otx1 Gaba_3,0.004555077949573362
0826 PAG-RN Nkx2-2 Otx1 Gaba_4,0.0010264964393404761
0827 PAG-RN Nkx2-2 Otx1 Gaba_5,0.005709886443831398
0828 PAG-RN Nkx2-2 Otx1 Gaba_6,0.0010264964393404761
0829 PRT Tcf7l2 Gaba_1,0.02585487906588824
0830 PRT Tcf7l2 Gaba_2,0.0019246808237633926
0831 PRT Tcf7l2 Gaba_3,0.017129659331494195
0832 PRT Tcf7l2 Gaba_4,0.0011548084942580355
0833 PRT Tcf7l2 Gaba_5,0.008917687816770386
