gene,score,owned,neuronal only,good Allen ISH
Zfhx3,0.970687952,Y,,
Tenm2,0.970527143,N,,
Hoxb5,0.970461184,Y,,
Meis2,0.970182334,Y,,
Nrxn3,0.970055264,N,,
Pcdh9,0.969974505,N,,
Ebf3,0.969781302,Y,,
Tshz2,0.969681777,Y,,
Zfhx4,0.969655298,Y,,
Nxph1,0.969381236,Y,,
Dscaml1,0.969167484,Y,,
Pcdh7,0.969088408,N,,
Gabra1,0.968965685,N,,
Rbfox1,0.968960527,N,,
Pcp4,0.968925983,Y,,
Pbx3,0.968895876,N,,
Arpp21,0.968842972,Y,,
Pax2,0.968678819,Y,,
Nxph4,0.968593302,N,,
Syt1,0.968548319,N,,
Negr1,0.968500577,N,,
Opcml,0.968455877,N,,
Zfp536,0.968354356,Y,,
Cacna2d3,0.968338869,,,
Syt2,0.968319534,,,
Celf2,0.968272841,,,
Nrg1,0.968268605,,,
Shox2,0.968220458,,,
Slc8a1,0.968205821,,,
Cadm2,0.968134299,,,
Pdzrn4,0.968129223,,,
Nrn1,0.968065002,,,
Slc6a5,0.96803031,,,
Phox2b,0.968026882,,,
Onecut2,0.967985518,,,
Kcnip4,0.967981044,,,
Rmst,0.967967294,,,
Sorcs3,0.967966972,,,
Runx1t1,0.96794697,,,
Cdh13,0.967938269,,,
Pbx1,0.967922616,,,
Ntng1,0.967920908,,,
Slc17a6,0.967898382,,,
Car10,0.967895085,,,
Meis1,0.967894075,,,
Rph3a,0.967885817,,,
Alcam,0.967865583,,,
Hcn1,0.967856836,,,
Elavl2,0.96782693,,,
A830018L16Rik,0.967818115,,,
Slc32a1,0.967816633,,,
Ppp3ca,0.967804215,,,
Bcl11b,0.967798585,,,
Npas3,0.967793123,,,
Lsamp,0.967793096,,,
Lamp5,0.967784786,,,
Rbms3,0.967777588,,,
Hs6st3,0.96777556,,,
Erbb4,0.967763383,,,
Rab3c,0.967759624,,,
Tmem163,0.96775862,,,
Grm7,0.967742275,,,
Sparcl1,0.967737379,,,
Scn1a,0.967710675,,,
Kirrel3,0.967704234,,,
Tafa2,0.967703999,,,
Cplx1,0.967701656,,,
Dpp10,0.967699476,,,
Ahi1,0.967697292,,,
Lrp1b,0.967694641,,,
Sema6d,0.967664782,,,
Aldoc,0.967600434,,,
Mpped2,0.967589399,,,
Cacna2d1,0.967572915,,,
Robo1,0.967549906,,,
Tcf4,0.967548571,,,
Snca,0.967515622,,,
Kcna2,0.967496857,,,
Pcdh17,0.967440694,,,
Gad2,0.967420925,,,
Otp,0.967415428,,,
Grid2,0.967413739,,,
Bend6,0.967412275,,,
Gria3,0.967403513,,,
Auts2,0.967403049,,,
Olfm1,0.967397161,,,
6330411D24Rik,0.967347971,,,
Slc30a3,0.967320966,,,
Fndc5,0.967309563,,,
Prkg1,0.967265395,,,
Atp2b2,0.96718961,,,
Oip5os1,0.967129169,,,
Gad1,0.967129029,,,
Vamp1,0.967123367,,,
Atp1b1,0.967114408,,,
Meg3,0.967100218,,,
Necab1,0.967082605,,,
Vsnl1,0.967048197,,,
Etl4,0.966937328,,,
Pcdh11x,0.966840866,,,
