,gene,score
0,6330411D24Rik,0.9594286868535018
1,Ahi1,0.9587895493949395
2,Arpp21,0.9599075595676219
3,Atp1b1,0.9604279668592758
4,Baiap3,0.9581529899138629
5,Bcl11a,0.9577318718711425
6,Bcl11b,0.9584720529765482
7,Cadm2,0.957968988256803
8,Cdh13,0.9576391959343159
9,Cdh18,0.9561636892070712
10,Celf2,0.9602870685460557
11,Chrm3,0.9589185607096579
12,Clstn2,0.95679290538467
13,Cntn5,0.9569288449229144
14,Cntnap2,0.9582718019901415
15,Cntnap4,0.9583807546360519
16,Cntnap5a,0.9567531035166511
17,Cntnap5b,0.9565479968325517
18,Cplx1,0.9584419915914206
19,Csmd1,0.9592608644743797
20,D030068K23Rik,0.957635291259567
21,Dab1,0.957570412936783
22,Dcc,0.9577265032488339
23,Dlgap1,0.9563802575411796
24,Ebf2,0.9544529872401976
25,Egfem1,0.9575867038539126
26,Epha5,0.9578119485345347
27,Gabra1,0.9590107299227142
28,Galnt13,0.957974186126291
29,Gria1,0.9589773317344857
30,Grid2,0.9591121617928628
31,Grik1,0.9578673788363321
32,Grik2,0.9571447582057072
33,Grm7,0.9584926660559331
34,Grm8,0.9567698091203338
35,Hcn1,0.9572279083584508
36,Hoxa5,0.9543453430713356
37,Hoxb3,0.9546876412337646
38,Hoxb4,0.9532530211729138
39,Hoxc4,0.954186247676268
40,Hoxd3,0.9536947340349481
41,Hs6st3,0.9573660081541495
42,Kcnb2,0.9568337699677169
43,Kcnip4,0.9581591350528411
44,Lrp1b,0.9584051986862724
45,Lrrc4c,0.9591180430164638
46,Lsamp,0.9572159469034299
47,Lypd1,0.9549913142295182
48,Mab21l2,0.9583386838115052
49,Mgat4c,0.9589141078473172
50,Mpped2,0.9583910673405307
51,Necab1,0.9562906763610046
52,Negr1,0.9592227645716913
53,Nr2f2,0.9580560814215152
54,Nrg1,0.9579332430801831
55,Ntm,0.9571911991450354
56,Ntng1,0.9578658261455001
57,Nxph1,0.9580525036826402
58,Nxph4,0.9575643382214118
59,Onecut2,0.9583354896922472
60,Opcml,0.9584983198168687
61,Oprm1,0.9573504714138047
62,Pbx3,0.9583586215863421
63,Pcdh11x,0.9557086378803951
64,Pcdh15,0.9582756480689099
65,Pcdh17,0.9574922070027614
66,Pcdh7,0.9591466910626752
67,Pcp4,0.9596497115044772
68,Pdzrn4,0.9577010133483571
69,Ppp3ca,0.9577109229633116
70,Prkcb,0.9569492168526539
71,Prkg1,0.9593808736833576
72,Ptprd,0.9579904125506625
73,Ptprt,0.9571177695089174
74,Rab3c,0.9593040046785084
75,Rbfox1,0.95792610058142
76,Rmst,0.9580851185984884
77,Robo1,0.9582440660735101
78,Robo2,0.9579074892148902
79,Runx1t1,0.9577472281389727
80,Scn1a,0.958679011248464
81,Sdk1,0.9562758011274739
82,Slc8a1,0.9581433153056865
83,Snca,0.9583258187310728
84,Sorcs3,0.9574875878715743
85,Syt2,0.9585873335085471
86,Unc13c,0.9565109277629419
87,Vamp1,0.9577698921753726
88,Vsnl1,0.95820053955189
89,Zfhx4,0.9564779168016513
